10 21.791
20 19.58
30 22.831
40 21.25
50 18.688
60 20.544
70 21.541
80 19.254
90 20.136
100 18.664
110 20.503
120 16.098
130 18.57
140 18.126
150 17.899
160 17.214
170 19.201
180 18.246
190 17.496
200 18.213
210 18.708
220 19.255
230 19.582
240 20.623
250 18.197
260 15.294
270 17.763
280 18.131
290 16.675
300 17.387
310 15.707
320 19.461
330 18.638
340 20.707
350 17.866
360 16.822
370 17.917
380 18.419
390 19.256
400 17.199
410 16.714
420 17.348
430 15.749
440 17.916
450 16.378
460 16.72
470 19.474
480 16.694
490 15.831
500 17.663
510 16.294
520 17.874
530 17.952
540 18.414
550 17.05
560 15.826
570 15.955
580 15.092
590 17.327
600 16.925
610 17.004
620 16.212
630 15.695
640 15.921
650 15.079
660 16.838
670 16.255
680 16.483
690 16.451
700 19.987
710 19.702
720 16.418
730 17.171
740 15.135
750 18.109
760 15.982
770 16.582
780 15.375
790 17.165
800 17.613
810 15.205
820 16.703
830 16.004
840 18.712
850 17.83
860 16.545
870 18.202
880 16.832
890 16.041
900 18.096
910 16.951
920 26.461
930 16.222
940 17.076
950 17.321
960 17.703
970 16.751
980 16.289
990 17.242
1000 20.236
